QID,ProductID,Component,Role,RoleName,Level,OnboardingPhase,QuestionType,Question,WhyItMatters,AnswerSource,AnswerStatus,BlocksWork,ParentQID,FollowUps,SampleAnswerShape,AskedTo,AnsweredBy,AnswerDate,DocLink,Confidence
QAI0135,E04,Shared Local AI Inference Platform,DEVOPS,DevSecOps / Platform Engineer,L2 Mid,Month 1,Governance/Process,How is a new model version activated in a specific enclave?,"An unapproved model activated in an accredited enclave is a change-control breach, not a deployment.",Master Checklist v3 (AIA-03.2.01),Partially documented,AIA-03.2.01 per-enclave model approval workflow,-,What evidence links the approval to an eval run? / Who approves?,"Names the change-controlled event, the green regression run, and the approval record",,,,,
QAI0148,E04,Shared Local AI Inference Platform,DEVOPS,DevSecOps / Platform Engineer,L2 Mid,Month 1,Mechanism,What proves that installing the inference service into a zero-egress enclave produced no outbound call?,An install that quietly pulls weights from the internet cannot happen at the customer site and fails acceptance on the day.,Master Checklist v3 (AIA-06.1.03),Partially documented,AIA-06.1.03 enclave zero-egress install,-,How is the install performed? / What does the CI egress test assert?,"Names the signed bundle, the media-only install and the automated egress test",,,,,
QAI0141,E04,Shared Local AI Inference Platform,DEVOPS,DevSecOps / Platform Engineer,L3 Senior,Quarter 1,Failure mode,What is the recovery path when a combined model and service update fails halfway on an enclave appliance?,A half-applied update in a site with no remote access takes every AI feature offline until the next media window.,Master Checklist v3 (AIA-06.1.04); Architecture Review Report Scenario 13,Partially documented,AIA-06.1.04 failed-bundle rollback rehearsal,-,What is the stated recovery bound? / Who performs it locally?,"Names the last-good state, the rollback procedure, and the time bound demonstrated",,,,,
QCV0106,E04,Shared Local AI Inference Platform,DEVOPS,DevSecOps / Platform Engineer,L2,Month 1,Mechanism,"How does admission control decide between a grading request, a chat request and a batch job under contention?","Getting priority wrong means a learner's assessment waits behind a batch re-index, which becomes a grading incident.",Master Checklist v3 (AIA-01.1.03),Partially documented,AIA-01.1.03 admission control policy,-,What are the queue depths? / When does preemption trigger? / What does the caller see when shed?,"States the priority order, the queue bounds and the client-visible behaviour on rejection",,,,,
QCV0112,E04,Shared Local AI Inference Platform,DEVOPS,DevSecOps / Platform Engineer,L4,Quarter 1,Emergent,"If GPU procurement slips two quarters waiting on an architecture review, what is the degraded-mode plan for the slice that depends on it?",Without a degraded plan the AI products either wait for hardware or ship on unapproved infrastructure.,Master Checklist v3 (AIA-01.1.04); Platform Architect,Undocumented — no answer exists,Slice D delivery,QCV0108,Which features degrade gracefully? / What does hosted inference cost and is it permitted? / Who decides?,"Names the degraded capability set, its quality cost and the decision owner",,,,,
QAI0140,E04,Shared Local AI Inference Platform,PM,Project / Delivery Manager,L3 Senior,Quarter 1,Cost,What does one chatbot answer cost on our own GPU appliance compared with a hosted API call?,Without this number the enclave tier is priced blind and may be commercially unviable at the price already quoted.,Architecture Review Report SS Q.3.2 cost-model skeleton (numbers TBD),Undocumented — no answer exists,Enclave bill of materials and pricing,-,What is the breakeven session volume? / Does the comparison even apply in an enclave?,"Gives capex, power, refresh and usage lines over three years with the breakeven point",,,,,
QAI0146,E04,Shared Local AI Inference Platform,PM,Project / Delivery Manager,L4 Architect,Quarter 1,Trade-off,Which decision on this platform is most expensive to reverse eighteen months from now?,Reversing GPU class or model family after enclave accreditation means re-accrediting every site.,"Architecture Review Report R-009, DEC-002; Platform Architect",Partially documented,AIA-02.1.07 GPU procurement recommendation,-,What is the procurement lead time? / What is the re-accreditation cost?,"Ranks GPU class, model family and serving stack by reversal cost with reasoning",,,,,
QAI0149,E04,Shared Local AI Inference Platform,PM,Project / Delivery Manager,L4 Architect,Quarter 1,Emergent,"If the sizing memo lands after the GPU order deadline, what is the fallback plan for Slice D?",Missing the two-quarter lead time means the enclave AI acceptance runs on hardware that is not the target class.,Architecture Review Report R-009; Master Checklist v3 (AIA-02.1.07),Partially documented,Slice D enclave AI acceptance,QAI0139,Can rented hardware substitute for the gate? / Who accepts that substitution?,"States the fallback, its evidential weakness, and who accepts it",,,,,
QCV0108,E04,Shared Local AI Inference Platform,PM,Project / Delivery Manager,L3,Week 1,Failure mode,What is blocked at the Stage 1 gate if GPU procurement requires an architecture review that does not exist?,"Long-lead GPU procurement sits two quarters ahead of the slice that needs it, so a review delay cascades into a hardware delay.",Coverage Cross-Check §C2 card 32; Master Checklist v3 (AIA-02.x),Undocumented — no answer exists,GPU procurement authorisation; Slice D,-,Who commissions the review? / How long does it take? / Is conditional authorisation possible?,Traces review to procurement to slice with dates and the conditional path if one exists,,,,,
QAI0147,E04,Shared Local AI Inference Platform,PRODM,Product Manager,L4 Architect,Quarter 1,Cost,What do we tell a connected-deployment customer who asks why they are paying for local inference they do not need?,A single serving story that ignores the connected case either overcharges or forks the product.,Architecture Review Report SS Q.3.2 decision rule; Product Manager,Partially documented,Deployment-class pricing model,-,Is hosted permitted for connected sites? / Does that fork the eval evidence?,States the per-deployment-class position and its evaluation consequence,,,,,
QAI0152,E04,Shared Local AI Inference Platform,PRODM,Product Manager,L4 Architect,Quarter 1,Emergent,"If the per-answer cost on our own appliance exceeds a hosted API by a wide margin, does that change what we sell to connected customers?",Selling one architecture to both deployment classes on cost grounds we have never measured is a margin risk we cannot see.,None - undocumented; Commercial owner (E10),Undocumented — no answer exists,Deployment-class pricing model,QAI0140,Does a hosted connected tier need its own eval evidence? / Who owns that cost?,States the product consequence and the additional evaluation burden,,,,,
QAI0138,E04,Shared Local AI Inference Platform,QA,QA / Test Engineer,L2 Mid,Month 1,Performance/Scale,What does the Scenario 11 saturation test have to demonstrate to pass?,A soak test that only measures throughput will pass while grading jobs are being dropped.,"Master Checklist v3 (AIA-03.2.04, TST-39.2.05)",Partially documented,AIA-03.2.04 Scenario 11 acceptance test,-,Is it run on the target GPU class? / What concurrency multiple is used?,"Names priority preservation, zero dropped grading, queue messaging and recovery without restart",,,,,
QST0208,E04,Shared Local AI Inference Platform,QA,QA / Test Engineer,L2 Mid,Month 1,Emergent,"If evaluation numbers must come from the enclave rig, how do you test refusal behaviour before that rig exists?","Testing on hosted models produces numbers that will not survive the first enclave run, and the release gate is set on fiction.","Architecture Review Report §J.2 item 4, §I.1-6",Partially documented,E04 enclave evaluation rig,QST0196,Can recorded fixtures substitute? / What is provisional versus final? / When must the rig exist?,Distinguishes provisional fixture-based results from gate-quality enclave results,,,,,
QAI0143,E04,Shared Local AI Inference Platform,SDET,Test Architect / SDET,L3 Senior,Quarter 1,Standards,"What does the inference API conformance suite prove, and what does it leave untested?",A green contract suite against a stub says nothing about behaviour under saturation on real hardware.,"Master Checklist v3 (AIA-01.1.07, AIA-03.1.01)",Partially documented,AIA-01.1.07 consumer-driven conformance tests,-,Does it cover priority semantics? / Does it cover degraded modes?,Separates contract shape from runtime behaviour and names the tests for each,,,,,
QST0236,E04,Shared Local AI Inference Platform,SDET,Test Architect / SDET,L3 Senior,Quarter 1,Governance/Process,How do you prove that the artificial-intelligence evaluation gate cannot be bypassed at release time?,"A gate that can be skipped under pressure is not a gate, and an unevaluated model reaching an enclave is unrecoverable remotely.",Master Checklist v3 (TST-11.1.01); Architecture Review Report MOD-010,Partially documented,E04 AI release gate enforcement,-,Is the gate in the pipeline or in a process? / Who can override? / Is the override logged?,"Shows the gate as a pipeline control with a logged, narrow override",,,,,
